Key,Source,Context,English,German
meleeToolPickT3AugerDesc,item,desc,"The drill is a superior tool with which one can break down stones and metal very quickly (LMB). Requires gasoline to operate. \n\nIt can be repaired with a large kit and used underwater.","Der Bohrer ist ein überlegendes Werkzeug mit dem man Steine und Metall sehr schnell abbauen (LMB) kann. Benötigt zum Betrieb Benzin. \n\nEr kann mit einem großen Kit repariert und unter Wasser verwendet werden."
meleeToolSalvageT3ImpactDriverDesc,item,desc,"The impact wrench is an superior tool with which you can dismantle objects (LMB/RMB) very quickly. Power blows (RMB) require more stamina. \n\nIt can be repaired with a large kit and does not break. Limited functionality under water.","Der Schlagschrauber ist ein überlegendes Werkzeug mit dem man Gegenstände sehr schnell zerlegen (LMB/RMB) kann. Stärkere Hiebe (RMB) benötigen mehr Ausdauer. \n\nEr kann mit einem großen Kit repariert werden und zerbricht nicht. Eingeschränkte Funktion unter Wasser."
gunHandgunT3DesertVultureDesc,item,desc,"The desert vulture is a superior weapon with which you can shoot enemies at a distance (LMB). Aiming (RMB) allows more accurate hits, but costs stamina. The ammunition can be changed (R). \n\nIt can be repaired with a large kit and will not break. Limited function under water (8m).","Die Desert Vulture ist eine überlegende Waffe mit der man Gegner auf Entfernung abschießen (LMB) kann. Zielen (RMB) ermöglicht genauere Treffer, kostet aber Ausdauer. Die Munition kann gewechselt (R) werden. \n\nSie kann mit einem großen Kit repariert werden und zerbricht nicht. Eingeschränkte Funktion unter Wasser (8m)."
gunShotgunT3AutoShotgunDesc,item,desc,"The auto shotgun is a superior weapon with which you can shoot enemies at a short distance (LMB). Aiming (RMB) allows more accurate hits, but costs stamina. The ammunition can be changed (R). \n\nIt can be repaired with a large kit and will not break. Limited function under water (7m).","Die Auto Pumpgun ist eine überlegende Waffe mit der man Gegner auf kurze Entfernung abschießen (LMB) kann. Zielen (RMB) ermöglicht genauere Treffer, kostet aber Ausdauer. Die Munition kann gewechselt (R) werden. \n\nSie kann mit einem großen Kit repariert werden und zerbricht nicht. Eingeschränkte Funktion unter Wasser (7m)."
gunRifleT3SniperRifleDesc,item,desc,"The sniper rifle is a superior weapon with which you can shoot enemies at a long distance (LMB). Aiming (RMB) allows more accurate hits, but costs stamina. The ammunition can be changed (R). \n\nIt can be repaired with a large kit and will not break. Limited function under water (11m).","Das Scharfschützengewehr ist eine überlegende Waffe mit der man Gegner auf weite Entfernung abschießen (LMB) kann. Zielen (RMB) ermöglicht genauere Treffer, kostet aber Ausdauer. Die Munition kann gewechselt (R) werden. \n\nSie kann mit einem großen Kit repariert werden und zerbricht nicht. Eingeschränkte Funktion unter Wasser (11m)."
gunMGT3M60Desc,item,desc,"The M60 is a superior weapon with which you can shoot enemies at a distance (LMB). Aiming (RMB) allows more accurate hits, but costs stamina. The ammunition can be changed (R). \n\nIt can be repaired with a large kit and will not break. Limited function under water (8.5m).","Die M60 ist eine überlegende Waffe mit der man Gegner auf Entfernung abschießen (LMB) kann. Zielen (RMB) ermöglicht genauere Treffer, kostet aber Ausdauer. Die Munition kann gewechselt (R) werden. \n\nSie kann mit einem großen Kit repariert werden und zerbricht nicht. Eingeschränkte Funktion unter Wasser (8.5m)."
gunExplosivesT3RocketLauncherDesc,item,desc,"The rocket launcher is a superior weapon with which you can shoot enemies at range (LMB) and dismember them. Aiming (RMB) enables more accurate hits, but costs stamina. The ammunition can be changed (R). \n\nIt cannot be repaired just disassemble. Can be used underwater.","Der Raketenwerfer ist eine überlegende Waffe mit der man Gegner auf Entfernung abschießen (LMB) und zerstückeln kann. Zielen (RMB) ermöglicht genauere Treffer, kostet aber Ausdauer. Die Munition kann gewechselt (R) werden. \n\nMan kann ihn nicht reparieren nur zerlegen. Kann unter Wasser verwendet werden."

h7sb_ruestung_stoff,desc,rüstung,"Cloth armors puts little strain on you and offers barely protection against damage. It doesn't protect against the weather. \n\nCan be repaired with a ball of cloth or taken apart into scraps of cloth.","Stoffrüstungen belasten einen nur wenig und bieten kaum Schutz gegen Schaden. Sie schützen nicht vor dem Wetter. \n\nKönnen mit einem Stoffballen repariert oder zu Stofffetzen zerlegt werden."
h7sb_ruestung_leder,desc,rüstung,"Leather armors hardly burdens you and offers light protection against damage. It does not protect you from the weather. \n\nCan be repaired with a leather strap or scraped into leather.","Lederrüstungen belasten einen kaum und bieten leichten Schutz gegen Schaden. Sie schützen nicht vor dem Wetter. \n\nKönnen mit einem Lederriemen repariert oder zu Leder zerlegt werden."
h7sb_ruestung_schrott,desc,rüstung,"Scrap armors is a burden and offers protection against damage. It does not protect against the weather. \n\Can be repaired with a small kit or scrapped into iron.","Alteisenrüstungen belasten einen und bieten Schutz gegen Schaden. Sie schützen nicht vor dem Wetter. \n\nKönnen mit einem kleinen Kit repariert oder zu Eisen zerlegt werden."
h7sb_ruestung_eisen,desc,rüstung,"Iron armors is a large burden and offers protection against damage. It does not protect against the weather. \n\Can be repaired with a small kit or scrapped into iron.","Eisenrüstungen belasten einen stark und bieten guten Schutz gegen Schaden. Sie schützen nicht vor dem Wetter. \n\nKönnen mit einem kleinen Kit repariert oder zu Eisen zerlegt werden."
h7sb_ruestung_kevlar,desc,rüstung,"Military Kevlar armor is burden and offers better protection against damage. It does not protect against the weather. \n\nCan be repaired with a large kit or dismantled into parts.","Militärische Kevlar Rüstungen belasten einen sehr und bieten besseren Schutz gegen Schaden. Sie schützen nicht vor dem Wetter. \n\nKönnen mit einem großen Kit repariert oder in Einzelteile zerlegt werden."
h7sb_ruestung_stahl,desc,rüstung,"Steel armor is an enormous burden, but offers great protection against damage. It does not protect against the weather. \n\nCan be repaired with a large kit or dismantled into parts.","Stahlrüstungen belasten einen enorm aber bieten hervorragenden Schutz gegen Schaden. Sie schützen nicht vor dem Wetter. \n\nKönnen mit einem großen Kit repariert oder in Einzelteile zerlegt werden."
